20230917215440, 14, "Stanley #2 Philips Screwdriver", 6.95, 1, : 0.0%, September 17, 2023, 09:54:40 PM
20230917215440, 3451, "Oakley Jawbreaker sunglasses", 236.0, 2, : 0.0%, September 17, 2023, 09:54:40 PM

20230917220239, 14, "Stanley #2 Philips Screwdriver", 6.95, 1, : 0.0%, September 17, 2023, 10:02:39 PM
20230917220239, 23, "Tamiya 2oz paint - ferrari red", 2.39, 1, : 0.0%, September 17, 2023, 10:02:39 PM
20230917220239, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 65, : 20.0%, September 17, 2023, 10:02:39 PM

20230917220620, 22389, "Swingline Model B2200 stapler", 18.0, 200, : 20.0%, September 17, 2023, 10:06:20 PM
20230917220620, 14909, "1/4in - 28tpi SS nuts", 1.0, 30, : 20.0%, September 17, 2023, 10:06:20 PM
20230917220620, 2190, "Hefty 30 gal with handles - box 40", 19.0, 5, : 10.0%, September 17, 2023, 10:06:20 PM

20230917221523, 14, "Stanley #2 Philips Screwdriver", 6.95, 1, : 0.0%, September 17, 2023, 10:15:23 PM
20230917221523, 3451, "Oakley Jawbreaker sunglasses", 236.0, 2, : 0.0%, September 17, 2023, 10:15:23 PM

20230917221708, 23, "Tamiya 2oz paint - ferrari red", 2.39, 4, : 0.0%, September 17, 2023, 10:17:08 PM
20230917224102, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 1, : 0.0%, September 17, 2023, 10:41:02 PM
